time,action,ritc_qty,ritc_action,bull_qty,bull_action,bear_qty,bear_action,profit_cad
2025-09-16T20:43:31-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,344.43
2025-09-16T20:43:31-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,215.54
2025-09-16T20:43:32-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,380.23
2025-09-16T20:43:32-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,364.18
2025-09-16T20:43:32-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,364.18
2025-09-16T20:43:33-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,334.18
2025-09-16T20:43:33-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,377.81
2025-09-16T20:43:33-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,259.85
2025-09-16T20:43:34-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,249.85
2025-09-16T20:43:34-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,140.46
2025-09-16T20:43:35-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,140.46
2025-09-16T20:43:35-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,191.51
2025-09-16T20:43:35-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,161.51
2025-09-16T20:43:36-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,161.51
2025-09-16T20:43:36-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,153.10
2025-09-16T20:43:36-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,153.10
2025-09-16T20:43:37-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,273.10
2025-09-16T20:43:37-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,345.86
2025-09-16T20:43:37-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,345.86
2025-09-16T20:43:38-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,213.63
